Šifra modela,Veličina,Šifra boje,MPC,Ime branda,Šifra branda,Vodič za veličinu,Spol,Oblik,Tip,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Fleksibilni,Veličina mosta,Naziv,Privremeno ime,Slika,Naziv final
0VO4282S-2,56,510811,101,VOGUE,VO,S,Muškarci,Phantos,Puni okvir,Crna,Metal,50,45,Najlonska vlakna,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4282S__510811,Dioptrijski okvir VOGUE S Crna
0VO4282S-3,56,514573,101,VOGUE,VO,M,Muškarci,Phantos,Puni okvir,Antikna bakrena,Metal,52,47,Najlonska vlakna,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4282S__514573,Dioptrijski okvir VOGUE M Antikna bakrena
0VO4282S-4,56,514970,101,VOGUE,VO,S,Muškarci,Phantos,Puni okvir,Gunmetal,Metal,50,45,Najlonska vlakna,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4282S__514970,Dioptrijski okvir VOGUE S Gunmetal
0VO4283,51,5184,101,VOGUE,VO,"M,L",Muškarci,Četvrtasti,Poluotvoreni okvir,Crna,Metal,54,36,Najlonska vlakna,145,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4283__5184,"Dioptrijski okvir VOGUE M,L Crna"
0VO4283-1,51,5184,101,VOGUE,VO,M,Muškarci,Četvrtasti,Poluotvoreni okvir,Crna,Metal,54,36,Najlonska vlakna,145,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4283__5184,Dioptrijski okvir VOGUE M Crna
0VO4283-2,53,323,101,VOGUE,VO,L,Muškarci,Četvrtasti,Poluotvoreni okvir,Crna,Metal,56,37,Najlonska vlakna,145,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4283__323,Dioptrijski okvir VOGUE L Crna
0VO4286S,56,323/8S,127,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,Ružičasto zlatna,Titanij,53,48,Titanij,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4286S__323/8S,Dioptrijski okvir VOGUE M Ružičasto zlatna
0VO4286S-1,56,323/8S,127,VOGUE,VO,M,Žene,Mačkasti,Puni okvir,Ružičasto zlatna,Titanij,53,48,Titanij,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4286S__323/8S,Dioptrijski okvir VOGUE M Ružičasto zlatna
0VO4289S,59,548/73,84,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Top Fuchsia/Matte Rose Gold,Metal,55,48,Metal,145,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4289S__548/73,Dioptrijski okvir VOGUE L Top Fuchsia/Matte Rose Gold
0VO4289S-1,59,548/73,84,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Top Fuchsia/Matte Rose Gold,Metal,55,48,Metal,145,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4289S__548/73,Dioptrijski okvir VOGUE L Top Fuchsia/Matte Rose Gold
0VO4290S,60,352/4Y,84,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Blijedozlatna,Metal,55,48,Metal,145,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4290S__352/4Y,Dioptrijski okvir VOGUE L Blijedozlatna
0VO4290S-1,60,352/4Y,84,VOGUE,VO,L,Žene,Nepravilan,Puni okvir,Blijedozlatna,Metal,55,48,Metal,145,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4290S__352/4Y,Dioptrijski okvir VOGUE L Blijedozlatna
0VO4292,56,5188S,101,VOGUE,VO,"XS,S",Žene,Ovalni,Poluotvoreni okvir,"Fronta Havana/Zlatna,Fronta Bordo/Roze Zlatna",Metal,51,41,Propionat,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4292__5188S,"Dioptrijski okvir VOGUE XS,S Fronta Havana/Zlatna,Fronta Bordo/Roze Zlatna"
0VO4292-1,56,5188S,101,VOGUE,VO,XS,Žene,Ovalni,Poluotvoreni okvir,Fronta Havana/Zlatna,Metal,51,41,Propionat,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4292__5188S,Dioptrijski okvir VOGUE XS Fronta Havana/Zlatna
0VO4292-2,56,5189S,101,VOGUE,VO,S,Žene,Ovalni,Poluotvoreni okvir,Fronta Bordo/Roze Zlatna,Metal,53,43,Propionat,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4292__5189S,Dioptrijski okvir VOGUE S Fronta Bordo/Roze Zlatna
0VO4296D,54,5149,101,VOGUE,VO,S,Žene,Phantos,Puni okvir,Fronta Havana/Zlatna,Metal,51,44,Propionat,140,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4296D__5149,Dioptrijski okvir VOGUE S Fronta Havana/Zlatna
0VO4296D-1,54,5149,101,VOGUE,VO,S,Žene,Phantos,Puni okvir,Fronta Havana/Zlatna,Metal,51,44,Propionat,140,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4296D__5149,Dioptrijski okvir VOGUE S Fronta Havana/Zlatna
0VO4297T,53,5192,101,VOGUE,VO,M,Žene,Phantos,Puni okvir,Fronta Bordo/Roze Zlatna,Metal,53,46,Propionat,140,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4297T__5192,Dioptrijski okvir VOGUE M Fronta Bordo/Roze Zlatna
0VO4297T-1,53,5192,101,VOGUE,VO,M,Žene,Phantos,Puni okvir,Fronta Bordo/Roze Zlatna,Metal,53,46,Propionat,140,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4297T__5192,Dioptrijski okvir VOGUE M Fronta Bordo/Roze Zlatna
0VO4298T,53,5191,92,VOGUE,VO,"S,M",Žene,Okrugli,Puni okvir,"Copper/Top Bordeaux,Rose Gold/Top White",Metal,51,44,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4298T__5191,"Dioptrijski okvir VOGUE S,M Copper/Top Bordeaux,Rose Gold/Top White"
