Naziv proizvoda,BREND,,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,BROWN FANTASY 0XAP,M,Acetat,150,52,48,17,140,138,VYA128V-1,Uncategorized,SvePotrebno,VYA128V,DIOPTRIJSKI OKVIR BROWN FANTASY 0XAP M,dioptrijski-okvir-brown-fantasy-0xap-m-2
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,TRANSP.PLAVA 06NA,M,Acetat,150,52,48,17,140,138,VYA128V-2,Uncategorized,SvePotrebno,VYA128V,DIOPTRIJSKI OKVIR TRANSP.PLAVA 06NA M,dioptrijski-okvir-transpplava-06na-m
DIOPTRIJSKI OKVIR,POLICE,,Cat Eye,TAMNO ZELENA 06WT,M,Acetat,150,54,46,18,140,138,VPLM04V,Uncategorized,SvePotrebno,VPLM04V,DIOPTRIJSKI OKVIR TAMNO ZELENA 06WT M,dioptrijski-okvir-tamno-zelena-06wt-m
DIOPTRIJSKI OKVIR,POLICE,,Cat Eye,TAMNO ZELENA 06WT,M,Acetat,150,54,46,18,140,138,VPLM04V-1,Uncategorized,SvePotrebno,VPLM04V,DIOPTRIJSKI OKVIR TAMNO ZELENA 06WT M,dioptrijski-okvir-tamno-zelena-06wt-m-1
DIOPTRIJSKI OKVIR,BLUMARINE,,Nepravilan,TRANSPARENTNA 04GO,M,Acetat,175,54,48,16,140,140,VBM878,Uncategorized,SvePotrebno,VBM878,DIOPTRIJSKI OKVIR TRANSPARENTNA 04GO M,dioptrijski-okvir-transparentna-04go-m
DIOPTRIJSKI OKVIR,BLUMARINE,,Nepravilan,TRANSPARENTNA 04GO,M,Acetat,175,54,48,16,140,140,VBM878-1,Uncategorized,SvePotrebno,VBM878,DIOPTRIJSKI OKVIR TRANSPARENTNA 04GO M,dioptrijski-okvir-transparentna-04go-m-1
DIOPTRIJSKI OKVIR,TWINSET,,Nepravilan,CRNA 0700,M,Acetat,140,53,50,17,140,138,VTW053,Uncategorized,SvePotrebno,VTW053,DIOPTRIJSKI OKVIR CRNA 0700 M,dioptrijski-okvir-crna-0700-m-7
DIOPTRIJSKI OKVIR,TWINSET,,Nepravilan,CRNA 0700,M,Acetat,140,53,50,17,140,138,VTW053-1,Uncategorized,SvePotrebno,VTW053,DIOPTRIJSKI OKVIR CRNA 0700 M,dioptrijski-okvir-crna-0700-m-8
DIOPTRIJSKI OKVIR,TWINSET,,Nepravilan,TRANSP.SIVA 098Z,M,Acetat,130,54,45,16,135,140,VTW031,Uncategorized,SvePotrebno,VTW031,DIOPTRIJSKI OKVIR TRANSP.SIVA 098Z M,dioptrijski-okvir-transpsiva-098z-m
DIOPTRIJSKI OKVIR,TWINSET,,Nepravilan,TRANSP.SIVA 098Z,M,Acetat,130,54,45,16,135,140,VTW031-1,Uncategorized,SvePotrebno,VTW031,DIOPTRIJSKI OKVIR TRANSP.SIVA 098Z M,dioptrijski-okvir-transpsiva-098z-m-1
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,DARK HAVANA,M,Acetat,190,55,46,16,140,138,VESE33,Uncategorized,SvePotrebno,VESE33,DIOPTRIJSKI OKVIR DARK HAVANA M,dioptrijski-okvir-dark-havana-m-1
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,DARK HAVANA,M,Acetat,190,55,46,16,140,138,VESE33-1,Uncategorized,SvePotrebno,VESE33,DIOPTRIJSKI OKVIR DARK HAVANA M,dioptrijski-okvir-dark-havana-m-2
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,SHINY BLUE 0AGQ,M,Acetat,155,54,46,16,140,135,VESE31,Uncategorized,SvePotrebno,VESE31,DIOPTRIJSKI OKVIR SHINY BLUE 0AGQ M,dioptrijski-okvir-shiny-blue-0agq-m
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,SHINY BLUE 0AGQ,M,Acetat,155,54,46,16,140,135,VESE31-1,Uncategorized,SvePotrebno,VESE31,DIOPTRIJSKI OKVIR SHINY BLUE 0AGQ M,dioptrijski-okvir-shiny-blue-0agq-m-1
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,GOLD 033M,M,Metal,175,54,48,16,140,135,VESE39,Uncategorized,SvePotrebno,VESE39,DIOPTRIJSKI OKVIR GOLD 033M M,dioptrijski-okvir-gold-033m-m
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,GOLD 033M,M,Metal,175,54,48,16,140,135,VESE39-1,Uncategorized,SvePotrebno,VESE39,DIOPTRIJSKI OKVIR GOLD 033M M,dioptrijski-okvir-gold-033m-m-1
DIOPTRIJSKI OKVIR,ESCADA,,Nepravilan,"CRNA 0700,BORDO 0AR3",M,Acetat,175,55,50,16,140,137,VESE78,Uncategorized,SvePotrebno,VESE78,"DIOPTRIJSKI OKVIR CRNA 0700,BORDO 0AR3 M",dioptrijski-okvir-crna-0700bordo-0ar3-m
