Naziv proizvoda,BREND,SPOL,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,CRVENO/ZLATNO,S,Metal,63,49,40,18,132,130,S50253,Uncategorized,SvePotrebno,S50253,DIOPTRIJSKI OKVIR CRVENO/ZLATNO S,dioptrijski-okvir-crveno-zlatno-s-1
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Nepravilan,CRVENO/ZLATNO,S,Metal,63,49,40,18,132,130,S50253-1,Uncategorized,SvePotrebno,S50253,DIOPTRIJSKI OKVIR CRVENO/ZLATNO S,dioptrijski-okvir-crveno-zlatno-s-2
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Okrugao,TRANSPARENTNO ROZA,S,Plastika,88,50,46,18,140,130,AM20363,Uncategorized,SvePotrebno,AM20363,DIOPTRIJSKI OKVIR TRANSPARENTNO ROZA S,dioptrijski-okvir-transparentno-roza-s
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Okrugao,TRANSPARENTNO ROZA,S,Plastika,88,50,46,18,140,130,AM20363-1,Uncategorized,SvePotrebno,AM20363,DIOPTRIJSKI OKVIR TRANSPARENTNO ROZA S,dioptrijski-okvir-transparentno-roza-s-1
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,"CRNA,PLAVA",S,Plastika,90,50,42,16,130,130,AM50066,Uncategorized,SvePotrebno,AM50066,"DIOPTRIJSKI OKVIR CRNA,PLAVA S",dioptrijski-okvir-crnaplava-s
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,CRNA,S,Plastika,90,50,42,16,130,130,AM50066-1,Uncategorized,SvePotrebno,AM50066,DIOPTRIJSKI OKVIR CRNA S,dioptrijski-okvir-crna-s-3
DIOPTRIJSKI OKVIR,ANNE MARIE,Ženske,Nepravilan,PLAVA,S,Plastika,90,50,42,16,130,130,AM50066-2,Uncategorized,SvePotrebno,AM50066,DIOPTRIJSKI OKVIR PLAVA S,dioptrijski-okvir-plava-s
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Četvrtasti,"CRNA,CRVENA",S,Plastika,63,51,42,15,130,130,S50258,Uncategorized,SvePotrebno,S50258,"DIOPTRIJSKI OKVIR CRNA,CRVENA S",dioptrijski-okvir-crnacrvena-s
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Četvrtasti,CRNA,S,Plastika,63,51,42,15,130,130,S50258-1,Uncategorized,SvePotrebno,S50258,DIOPTRIJSKI OKVIR CRNA S,dioptrijski-okvir-crna-s-4
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Četvrtasti,CRVENA,S,Plastika,63,51,42,15,130,130,S50258-2,Uncategorized,SvePotrebno,S50258,DIOPTRIJSKI OKVIR CRVENA S,dioptrijski-okvir-crvena-s
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Okrugao,"PLAVA,CRNA",S,Plastika,80,49,45,17,142,125,S50242,Uncategorized,SvePotrebno,S50242,"DIOPTRIJSKI OKVIR PLAVA,CRNA S",dioptrijski-okvir-plavacrna-s
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Okrugao,PLAVA,S,Plastika,80,49,45,17,142,125,S50242-1,Uncategorized,SvePotrebno,S50242,DIOPTRIJSKI OKVIR PLAVA S,dioptrijski-okvir-plava-s-1
DIOPTRIJSKI OKVIR,SOLANO,Ženske,Okrugao,CRNA,S,Plastika,80,49,45,17,142,125,S50242-2,Uncategorized,SvePotrebno,S50242,DIOPTRIJSKI OKVIR CRNA S,dioptrijski-okvir-crna-s-5
