Naziv proizvoda,BREND,SPOL,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,CRNA 050,M,Plastika,60,53,44.5,15,140,137,F0364-3,Uncategorized,SvePotrebno,F0364,Dioptrijski okvir CRNA 050 M,dioptrijski-okvir-crna-050-m
Dioptrijski okvir+clip on,CENTROSTYLE,,Okrugao,TAMNO CRVENA 122,M,Plastika,90,45,39.7,18,135,124.2,F0283,Uncategorized,SvePotrebno,F0283,Dioptrijski okvir+clip on TAMNO CRVENA 122 M,dioptrijski-okvirclip-on-tamno-crvena-122-m
Dioptrijski okvir+clip on,CENTROSTYLE,,Okrugao,TAMNO CRVENA 122,M,Plastika,90,45,39.7,18,135,124.2,F0283-1,Uncategorized,SvePotrebno,F0283,Dioptrijski okvir+clip on TAMNO CRVENA 122 M,dioptrijski-okvirclip-on-tamno-crvena-122-m-1
SUNČANE NAOČALE,CENTROSTYLE,Muške,,CRNO/CRVENA,M,Plastika,105,,44,13,130,150,13585,Uncategorized,SvePotrebno,13585,SUNČANE NAOČALE CRNO/CRVENA M,suncane-naocale-crno-crvena-m
SUNČANE NAOČALE,CENTROSTYLE,Muške,,CRNO/CRVENA,M,Plastika,105,,44,13,130,150,13585-1,Uncategorized,SvePotrebno,13585,SUNČANE NAOČALE CRNO/CRVENA M,suncane-naocale-crno-crvena-m-1
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,CRNA 001,M,Plastika,60,52,41,14,140,133,F0215,Uncategorized,SvePotrebno,F0215,Dioptrijski okvir CRNA 001 M,dioptrijski-okvir-crna-001-m-2
Dioptrijski okvir,CENTROSTYLE,Ženske,Cat Eye,CRNA 001,M,Plastika,60,52,41,14,140,133,F0215-1,Uncategorized,SvePotrebno,F0215,Dioptrijski okvir CRNA 001 M,dioptrijski-okvir-crna-001-m-3
Dioptrijski okvir+clip on,CENTROSTYLE,Ženske,Cat Eye,"BORDO 134,CRNA 001",M,Plastika,105,48,38.1,16,135,131,F0058,Uncategorized,SvePotrebno,F0058,"Dioptrijski okvir+clip on BORDO 134,CRNA 001 M",dioptrijski-okvirclip-on-bordo-134crna-001-m
Dioptrijski okvir+clip on,CENTROSTYLE,Ženske,Cat Eye,BORDO 134,M,Plastika,105,48,38.1,16,135,131,F0058-1,Uncategorized,SvePotrebno,F0058,Dioptrijski okvir+clip on BORDO 134 M,dioptrijski-okvirclip-on-bordo-134-m
Dioptrijski okvir+clip on,CENTROSTYLE,Ženske,Cat Eye,CRNA 001,M,Plastika,105,48,38.1,16,135,131,F0058-2,Uncategorized,SvePotrebno,F0058,Dioptrijski okvir+clip on CRNA 001 M,dioptrijski-okvirclip-on-crna-001-m
Dioptrijski okvir,CENTROSTYLE,Dječje,Ovalni,"PLAVO/ROZA 312,CRVENO/PLAVO 311",M,Plastika,80,45,36.3,14,130,121.6,F0172,Uncategorized,SvePotrebno,F0172,"Dioptrijski okvir PLAVO/ROZA 312,CRVENO/PLAVO 311 M",dioptrijski-okvir-plavo-roza-312crveno-plavo-311-m
Dioptrijski okvir,CENTROSTYLE,Dječje,Ovalni,PLAVO/ROZA 312,M,Plastika,80,45,36.3,14,130,121.6,F0172-1,Uncategorized,SvePotrebno,F0172,Dioptrijski okvir PLAVO/ROZA 312 M,dioptrijski-okvir-plavo-roza-312-m
Dioptrijski okvir,CENTROSTYLE,Dječje,Ovalni,CRVENO/PLAVO 311,M,Plastika,80,45,36.3,14,130,121.6,F0172-2,Uncategorized,SvePotrebno,F0172,Dioptrijski okvir CRVENO/PLAVO 311 M,dioptrijski-okvir-crveno-plavo-311-m
Dioptrijski okvir+clip on,CENTROSTYLE,Muške,Četvrtasti,SMEĐE/PLAVO108,M,Plastika,92,53,36,16,140,134.8,F0213,Uncategorized,SvePotrebno,F0213,Dioptrijski okvir+clip on SMEĐE/PLAVO108 M,dioptrijski-okvirclip-on-smede-plavo108-m
