Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Naziv kategorije;BREND;SPOL;OBLIK OKVIRA;U KOJIM BOJAMA JE DOSTUPAN;U KOJIM VELIČINAMA;MATERIJAL OKVIRA;CIJENA S UKLJUČENIM PDV-om;ŠIRINA LEĆE;VISINA LEĆE;ŠIRINA MOSTA;RUČKICE;ŠIRINA FRONTE;ŠIFRA;Naziv proizvoda
F0344;f0344;;F0344__018,F0344__046,F0344__043;Default;Eyewear;GOLD 018;;Dioptrijski okvir;CENTROSTYLE;Unisex;Četvrtasti;GOLD 018;S;Metal;70;47;40,3;20;145;132;F0344;CENTROSTYLE
F0344-S-GOLD-018;f0344-s-gold-018;018;F0344__018;Default;Eyewear;GOLD;zlatna;Dioptrijski okvir;CENTROSTYLE;Unisex;Četvrtasti;GOLD 018;S;Metal;70;47;40,3;20;145;132;F0344;CENTROSTYLE
F0344-M-GRAFITNO-SIVA-046;f0344-m-grafitno-siva-046;046;F0344__046;Default;Eyewear;GRAFITNO SIVA;siva;Dioptrijski okvir;CENTROSTYLE;Unisex;Četvrtasti;GRAFITNO SIVA 046,ROSE GOLD 043;M;Metal;70;49;41,9;20;145;135;F0344;CENTROSTYLE
F0344-M-ROSE-GOLD-043;f0344-m-rose-gold-043;043;F0344__043;Default;Eyewear;ROSE GOLD;zlatna;Dioptrijski okvir;CENTROSTYLE;Unisex;Četvrtasti;GRAFITNO SIVA 046,ROSE GOLD 043;M;Metal;70;49;41,9;20;145;135;F0344;CENTROSTYLE
F0321;f0321;;F0321__088,F0321__258;Default;Eyewear;SVJETLO PLAVA 088;;Dioptrijski okvir;CENTROSTYLE;Dječje;Okrugao;SVJETLO PLAVA 088;M;Plastika;60;46;40,6;19;135;126,5;F0321;CENTROSTYLE
F0321-M-SVJETLO-PLAVA-088;f0321-m-svjetlo-plava-088;088;F0321__088;Default;Eyewear;SVJETLO PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Dječje;Okrugao;SVJETLO PLAVA 088;M;Plastika;60;46;40,6;19;135;126,5;F0321;CENTROSTYLE
F0321-M-CRVENA-258;f0321-m-crvena-258;258;F0321__258;Default;Eyewear;CRVENA;crvena;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;CRVENA 258;M;Plastika;60;44;39;18;130;121,7;F0321;CENTROSTYLE
F0219;f0219;;F0219__115,F0219__072,F0219__070;Default;Eyewear;PLAVA 115;;Dioptrijski okvir;CENTROSTYLE;Muške;Pravokutan;PLAVA 115;M;Plastika;60;51;35;16;145;135;F0219;CENTROSTYLE
F0219-M-PLAVA-115;f0219-m-plava-115;115;F0219__115;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Muške;Pravokutan;PLAVA 115;M;Plastika;60;51;35;16;145;135;F0219;CENTROSTYLE
F0219-S-ZELENA-072;f0219-s-zelena-072;072;F0219__072;Default;Eyewear;ZELENA;zelena;Dioptrijski okvir;CENTROSTYLE;Unisex;Četvrtasti;ZELENA 072,PLAVA 070;S;Plastika;60;49;33,2;16;135;129,3;F0219;CENTROSTYLE
F0219-S-PLAVA-070;f0219-s-plava-070;070;F0219__070;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Unisex;Četvrtasti;ZELENA 072,PLAVA 070;S;Plastika;60;49;33,2;16;135;129,3;F0219;CENTROSTYLE
F0217;f0217;;F0217__155;Default;Eyewear;PLAVA 155;;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;PLAVA 155;M;Plastika;60;54;39,5;15;140;134,2;F0217;CENTROSTYLE
F0217-M-PLAVA-155;f0217-m-plava-155;155;F0217__155;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;PLAVA 155;M;Plastika;60;54;39,5;15;140;134,2;F0217;CENTROSTYLE
F0343;f0343;;F0343__033,F0343__018,F0343__001;Default;Eyewear;SREBRNA 033,ZLATNA 018;;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;SREBRNA 033,ZLATNA 018;S;Metal;73;48;45,2;20;150;132,4;F0343;CENTROSTYLE
F0343-S-SREBRNA-033;f0343-s-srebrna-033;033;F0343__033;Default;Eyewear;SREBRNA;srebrna;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;SREBRNA 033,ZLATNA 018;S;Metal;73;48;45,2;20;150;132,4;F0343;CENTROSTYLE
F0343-S-ZLATNA-018;f0343-s-zlatna-018;018;F0343__018;Default;Eyewear;ZLATNA;zlatna;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;SREBRNA 033,ZLATNA 018;S;Metal;73;48;45,2;20;150;132,4;F0343;CENTROSTYLE
F0343-M-CRNA-001;f0343-m-crna-001;001;F0343__001;Default;Eyewear;CRNA;crna;Dioptrijski okvir;CENTROSTYLE;Unisex;Okrugao;CRNA 001;M;Metal;70;50;47,3;20;145;137,2;F0343;CENTROSTYLE
