Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Vodič za veličinu;Šifra modela;Veličina;Šifra boje;Ime branda;MPC;Spol;Oblik;Tip;Opis naziva modela;Boja prednjeg dijela;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Veličina mosta;Ime proizvoda;Kategorija
0RX5397;0rx5397;;0RX5397__2000,0RX5397__2012,0RX5397__8117;Default;Eyewear;Crna;;XS;0RX5397;50;2000;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;ELLIOT;Crna;Acetat;50;42;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5397-XS-Crna-2000;0rx5397-xs-crna-2000;2000;0RX5397__2000;Default;Eyewear;Crna;crna;XS;0RX5397;50;2000;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;ELLIOT;Crna;Acetat;50;42;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5397-S-Crna-2000;0rx5397-s-crna-2000;2000;0RX5397__2000;Default;Eyewear;Crna;crna;S;0RX5397;52;2000;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;ELLIOT;Crna;Acetat;52;43;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5397-XS-Havana-2012;0rx5397-xs-havana-2012;2012;0RX5397__2012;Default;Eyewear;Havana;smeđa;XS;0RX5397;50;2012;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;ELLIOT;Havana;Acetat;50;42;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5397-XS-Havana-siva-8117;0rx5397-xs-havana-siva-8117;8117;0RX5397__8117;Default;Eyewear;Havana siva;siva;XS;0RX5397;50;8117;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;ELLIOT;Havana siva;Acetat;50;42;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5406;0rx5406;;0RX5406__2000,0RX5406__2126,0RX5406__2034;Default;Eyewear;Crna;;M;0RX5406;52;2000;RAY-BAN VISTA;132;Unisex;Kvadratni;Puni okvir;;Crna;Acetat;52;40;Acetat;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5406-M-Crna-2000;0rx5406-m-crna-2000;2000;0RX5406__2000;Default;Eyewear;Crna;crna;M;0RX5406;52;2000;RAY-BAN VISTA;132;Unisex;Kvadratni;Puni okvir;;Crna;Acetat;52;40;Acetat;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5406-L-Havana-2126;0rx5406-l-havana-2126;2126;0RX5406__2126;Default;Eyewear;Havana;smeđa;L;0RX5406;54;2126;RAY-BAN VISTA;132;Unisex;Kvadratni;Puni okvir;;Havana;Acetat;54;41;Acetat;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5406-L-Crna-na-Prozirna-2034;0rx5406-l-crna-na-prozirna-2034;2034;0RX5406__2034;Default;Eyewear;Crna na Prozirna;crna;L;0RX5406;54;2034;RAY-BAN VISTA;132;Unisex;Kvadratni;Puni okvir;;Crna na Prozirna;Acetat;54;41;Acetat;145;18;RAY-BAN VISTA;Dioptrijste naočale
0RX5411D;0rx5411d;;0RX5411D__2012,0RX5411D__8218;Default;Eyewear;Havana;;M;0RX5411D;54;2012;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;;Havana;Acetat;54;47;Acetat;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX5411D-M-Havana-2012;0rx5411d-m-havana-2012;2012;0RX5411D__2012;Default;Eyewear;Havana;smeđa;M;0RX5411D;54;2012;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;;Havana;Acetat;54;47;Acetat;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX5411D-M-Transparentna-zelena-8218;0rx5411d-m-transparentna-zelena-8218;8218;0RX5411D__8218;Default;Eyewear;Transparentna zelena;crna;M;0RX5411D;54;8218;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;;Transparentna zelena;Acetat;54;47;Acetat;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX5422;0rx5422;;0RX5422__2034,0RX5422__8309,0RX5422__8310;Default;Eyewear;Crna na Prozirna;;M;0RX5422;54;2034;RAY-BAN VISTA;146;Žene;Mačkasti;Puni okvir;;Crna na Prozirna;Acetat;54;42;Acetat;145;16;RAY-BAN VISTA;Dioptrijste naočale
0RX5422-M-Crna-na-Prozirna-2034;0rx5422-m-crna-na-prozirna-2034;2034;0RX5422__2034;Default;Eyewear;Crna na Prozirna;crna;M;0RX5422;54;2034;RAY-BAN VISTA;146;Žene;Mačkasti;Puni okvir;;Crna na Prozirna;Acetat;54;42;Acetat;145;16;RAY-BAN VISTA;Dioptrijste naočale
0RX5422-S-Plava-i-svijetloplava-8309;0rx5422-s-plava-i-svijetloplava-8309;8309;0RX5422__8309;Default;Eyewear;Plava i svijetloplava;plava;S;0RX5422;52;8309;RAY-BAN VISTA;146;Žene;Mačkasti;Puni okvir;;Plava i svijetloplava;Acetat;52;41;Acetat;140;16;RAY-BAN VISTA;Dioptrijste naočale
0RX5422-M-Tamnosiva-8310;0rx5422-m-tamnosiva-8310;8310;0RX5422__8310;Default;Eyewear;Tamnosiva;siva;M;0RX5422;54;8310;RAY-BAN VISTA;146;Žene;Mačkasti;Puni okvir;;Tamnosiva;Acetat;54;42;Acetat;145;16;RAY-BAN VISTA;Dioptrijste naočale
0RX5425D;0rx5425d;;0RX5425D__2000,0RX5425D__2012;Default;Eyewear;Crna;;M;0RX5425D;54;2000;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;;Crna;Acetat;54;46;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5425D-M-Crna-2000;0rx5425d-m-crna-2000;2000;0RX5425D__2000;Default;Eyewear;Crna;crna;M;0RX5425D;54;2000;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;;Crna;Acetat;54;46;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5425D-M-Havana-2012;0rx5425d-m-havana-2012;2012;0RX5425D__2012;Default;Eyewear;Havana;smeđa;M;0RX5425D;54;2012;RAY-BAN VISTA;146;Unisex;Kvadratni;Puni okvir;;Havana;Acetat;54;46;Acetat;145;19;RAY-BAN VISTA;Dioptrijste naočale
0RX5429;0rx5429;;0RX5429__2000,0RX5429__2012;Default;Eyewear;Crna;;M;0RX5429;53;2000;RAY-BAN VISTA;146;Unisex;Ovalni;Puni okvir;GERMAN;Crna;Acetat;53;42;Acetat;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX5429-M-Crna-2000;0rx5429-m-crna-2000;2000;0RX5429__2000;Default;Eyewear;Crna;crna;M;0RX5429;53;2000;RAY-BAN VISTA;146;Unisex;Ovalni;Puni okvir;GERMAN;Crna;Acetat;53;42;Acetat;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX5429-S-Havana-2012;0rx5429-s-havana-2012;2012;0RX5429__2012;Default;Eyewear;Havana;smeđa;S;0RX5429;51;2012;RAY-BAN VISTA;146;Unisex;Ovalni;Puni okvir;GERMAN;Havana;Acetat;51;40;Acetat;145;20;RAY-BAN VISTA;Dioptrijste naočale
0RX5430;0rx5430;;0RX5430__2000;Default;Eyewear;Crna;;M;0RX5430;51;2000;RAY-BAN VISTA;146;Unisex;Phantos;Puni okvir;BERNARD;Crna;Acetat;51;47;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX5430-M-Crna-2000;0rx5430-m-crna-2000;2000;0RX5430__2000;Default;Eyewear;Crna;crna;M;0RX5430;51;2000;RAY-BAN VISTA;146;Unisex;Phantos;Puni okvir;BERNARD;Crna;Acetat;51;47;Acetat;145;21;RAY-BAN VISTA;Dioptrijste naočale
0RX6275;0rx6275;;0RX6275__2502,0RX6275__2503;Default;Eyewear;Gunmetal;;M;0RX6275;54;2502;RAY-BAN VISTA;155;Unisex;Četvrtasti;Puni okvir;;Gunmetal;Metal;54;34;Metal;145;17;RAY-BAN VISTA;Dioptrijste naočale
0RX6275-M-Gunmetal-2502;0rx6275-m-gunmetal-2502;2502;0RX6275__2502;Default;Eyewear;Gunmetal;siva;M;0RX6275;54;2502;RAY-BAN VISTA;155;Unisex;Četvrtasti;Puni okvir;;Gunmetal;Metal;54;34;Metal;145;17;RAY-BAN VISTA;Dioptrijste naočale
