Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Boja prednjeg dijela;MPC;Ime branda;Šifra branda;Vodič za veličinu;Spol;Oblik;Tip;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Fleksibilni;Veličina mosta;Naziv proizvoda;širina fronte
VO5276;vo5276;;VO5276__2942;Default;Eyewear;Ružičasta;;VO5276;51;2942;Ružičasta;101;VOGUE;VO;S;Žene;Mačkasti;Puni okvir;Injektirani;51;43;Metal;140;;17;VOGUE;133
VO5276-S-Ruzicasta-2942;vo5276-s-ruzicasta-2942;2942;VO5276__2942;Default;Eyewear;Ružičasta;roza;VO5276;51;2942;Ružičasta;101;VOGUE;VO;S;Žene;Mačkasti;Puni okvir;Injektirani;51;43;Metal;140;;17;VOGUE;133
VO4253;vo4253;;VO4253__352,VO4253__5120;Default;Eyewear;Crna;;VO4253;53;352;Crna;84;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Metal;53;46;Metal;135;;17;VOGUE;133
VO4253-S-Crna-352;vo4253-s-crna-352;352;VO4253__352;Default;Eyewear;Crna;crna;VO4253;53;352;Crna;84;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Metal;53;46;Metal;135;;17;VOGUE;133
VO4253-S-bijela-5120;vo4253-s-bijela-5120;5120;VO4253__5120;Default;Eyewear;bijela;bijela;VO4253;51;5120;bijela;84;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Metal;51;44;Metal;135;;17;VOGUE;128
VO4238D;vo4238d;;VO4238D__5078,VO4238D__848;Default;Eyewear;Smeđa, Zlatna;;VO4238D;56;5078,848;Smeđa, Zlatna;80;VOGUE;VO;M;Žene;Četvrtasti;Puni okvir;Metal;56;52;Metal;145;;16;VOGUE;138
VO4238D-M-Smeda-5078;vo4238d-m-smeda-5078;5078;VO4238D__5078;Default;Eyewear;Smeđa;smeđa;VO4238D;56;5078,848;Smeđa, Zlatna;80;VOGUE;VO;M;Žene;Četvrtasti;Puni okvir;Metal;56;52;Metal;145;;16;VOGUE;138
VO4238D-M-Zlatna-848;vo4238d-m-zlatna-848;848;VO4238D__848;Default;Eyewear;Zlatna;zlatna;VO4238D;56;5078,848;Smeđa, Zlatna;80;VOGUE;VO;M;Žene;Četvrtasti;Puni okvir;Metal;56;52;Metal;145;;16;VOGUE;138
VO4301D;vo4301d;;VO4301D__352,VO4301D__848,VO4301D__5089;Default;Eyewear;Crna, Zlatna, CRVENA;;VO4301D;55;352,848,5089;Crna, Zlatna, CRVENA;84;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Metal;55;49;Metal;145;;18;VOGUE;138
VO4301D-M-Crna-352;vo4301d-m-crna-352;352;VO4301D__352;Default;Eyewear;Crna;crna;VO4301D;55;352,848,5089;Crna, Zlatna, CRVENA;84;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Metal;55;49;Metal;145;;18;VOGUE;138
VO4301D-M-Zlatna-848;vo4301d-m-zlatna-848;848;VO4301D__848;Default;Eyewear;Zlatna;zlatna;VO4301D;55;352,848,5089;Crna, Zlatna, CRVENA;84;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Metal;55;49;Metal;145;;18;VOGUE;138
VO4301D-M-CRVENA-5089;vo4301d-m-crvena-5089;5089;VO4301D__5089;Default;Eyewear;CRVENA;crvena;VO4301D;55;352,848,5089;Crna, Zlatna, CRVENA;84;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Metal;55;49;Metal;145;;18;VOGUE;138
VO4283;vo4283;;VO4283__5152,VO4283__323;Default;Eyewear;Ružičasta;;VO4283;51;5152;Ružičasta;101;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Metal;51;45;Metal;135;;17;VOGUE;130
VO4283-S-Ruzicasta-5152;vo4283-s-ruzicasta-5152;5152;VO4283__5152;Default;Eyewear;Ružičasta;roza;VO4283;51;5152;Ružičasta;101;VOGUE;VO;S;Žene;Četvrtasti;Puni okvir;Metal;51;45;Metal;135;;17;VOGUE;130
VO4283-M-SREBRNA-323;vo4283-m-srebrna-323;323;VO4283__323;Default;Eyewear;SREBRNA;srebrna;VO4283;53;323;SREBRNA;101;VOGUE;VO;M;Žene;Leptirasti;Puni okvir;Metal;53;47;Metal;140;;17;VOGUE;135
